race,sigla_uf,outcome_label,n,share
Indigenous,MS,Avoidable,979,0.7383107088989442
Indigenous,MS,Ill-defined,45,0.033936651583710405
Indigenous,MS,Non-avoidable,302,0.2277526395173454
Indigenous,MT,Avoidable,214,0.654434250764526
Indigenous,MT,Ill-defined,22,0.0672782874617737
Indigenous,MT,Non-avoidable,91,0.2782874617737003
Indigenous,PA,Avoidable,191,0.6895306859205776
Indigenous,PA,Ill-defined,14,0.05054151624548736
Indigenous,PA,Non-avoidable,72,0.259927797833935
Indigenous,PB,Avoidable,55,0.7534246575342466
Indigenous,PB,Non-avoidable,18,0.2465753424657534
Indigenous,PE,Avoidable,291,0.697841726618705
Indigenous,PE,Ill-defined,27,0.06474820143884892
Indigenous,PE,Non-avoidable,99,0.23741007194244604
Indigenous,PI,Avoidable,13,0.6842105263157895
Indigenous,PI,Ill-defined,1,0.05263157894736842
Indigenous,PI,Non-avoidable,5,0.2631578947368421
Indigenous,PR,Avoidable,250,0.746268656716418
Indigenous,PR,Ill-defined,24,0.07164179104477612
Indigenous,PR,Non-avoidable,61,0.18208955223880596
Indigenous,RJ,Avoidable,95,0.5792682926829268
Indigenous,RJ,Ill-defined,17,0.10365853658536585
Indigenous,RJ,Non-avoidable,52,0.3170731707317073
Indigenous,RN,Avoidable,44,0.6567164179104478
Indigenous,RN,Ill-defined,1,0.014925373134328358
Indigenous,RN,Non-avoidable,22,0.3283582089552239
Indigenous,RO,Avoidable,74,0.6016260162601627
Indigenous,RO,Ill-defined,10,0.08130081300813008
Indigenous,RO,Non-avoidable,39,0.3170731707317073
Indigenous,RR,Avoidable,552,0.6618705035971223
Indigenous,RR,Ill-defined,38,0.045563549160671464
Indigenous,RR,Non-avoidable,244,0.29256594724220625
Indigenous,RS,Avoidable,185,0.6445993031358885
Indigenous,RS,Ill-defined,21,0.07317073170731707
Indigenous,RS,Non-avoidable,81,0.28222996515679444
Indigenous,SC,Avoidable,119,0.7125748502994012
Indigenous,SC,Ill-defined,3,0.017964071856287425
Indigenous,SC,Non-avoidable,45,0.2694610778443114
Indigenous,SE,Avoidable,20,0.6896551724137931
Indigenous,SE,Ill-defined,5,0.1724137931034483
Indigenous,SE,Non-avoidable,4,0.13793103448275862
Indigenous,SP,Avoidable,223,0.5807291666666666
Indigenous,SP,Ill-defined,17,0.044270833333333336
Indigenous,SP,Non-avoidable,144,0.375
Indigenous,TO,Avoidable,72,0.6371681415929203
Indigenous,TO,Ill-defined,8,0.07079646017699115
Indigenous,TO,Non-avoidable,33,0.2920353982300885
White,AC,Avoidable,511,0.53732912723449
White,AC,Ill-defined,97,0.10199789695057834
White,AC,Non-avoidable,343,0.36067297581493163
White,AL,Avoidable,3635,0.6547190201729106
White,AL,Ill-defined,236,0.04250720461095101
White,AL,Non-avoidable,1681,0.30277377521613835
White,AM,Avoidable,4625,0.539044289044289
White,AM,Ill-defined,697,0.08123543123543124
White,AM,Non-avoidable,3258,0.3797202797202797
White,AP,Avoidable,710,0.5956375838926175
White,AP,Ill-defined,48,0.040268456375838924
White,AP,Non-avoidable,434,0.3640939597315436
White,BA,Avoidable,15579,0.5893546190512219
White,BA,Ill-defined,2153,0.08144813497768026
White,BA,Non-avoidable,8702,0.32919724597109784
White,CE,Avoidable,15415,0.5944622266784929
White,CE,Ill-defined,601,0.023176892522463462
White,CE,Non-avoidable,9915,0.3823608807990436
White,DF,Avoidable,8139,0.5853711162255466
White,DF,Ill-defined,280,0.020138089758342925
White,DF,Non-avoidable,5485,0.3944907940161105
White,ES,Avoidable,8667,0.6711840780608689
White,ES,Ill-defined,98,0.007589251142259738
White,ES,Non-avoidable,4148,0.3212266707968714
White,GO,Avoidable,23047,0.6092254824213587
White,GO,Ill-defined,673,0.017790113666402325
White,GO,Non-avoidable,14110,0.37298440391223897
White,MA,Avoidable,9498,0.656301824212272
White,MA,Ill-defined,456,0.03150912106135987
White,MA,Non-avoidable,4518,0.31218905472636815
White,MG,Avoidable,76760,0.5871060018509595
White,MG,Ill-defined,6899,0.05276764339199804
White,MG,Non-avoidable,47084,0.36012635475704247
White,MS,Avoidable,12997,0.6258487022680214
White,MS,Ill-defined,350,0.016853662059999035
White,MS,Non-avoidable,7420,0.3572976356719796
White,MT,Avoidable,11216,0.6070906630581867
White,MT,Ill-defined,853,0.04617050067658999
White,MT,Non-avoidable,6406,0.3467388362652233
White,PA,Avoidable,9295,0.6024369693434442
White,PA,Ill-defined,726,0.04705424849309742
White,PA,Non-avoidable,5408,0.35050878216345843
White,PB,Avoidable,4316,0.5962973197015751
White,PB,Ill-defined,298,0.04117159436308372
White,PB,Non-avoidable,2624,0.3625310859353413
