ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,3,2,BA,baixa,1
2012,adulto,3,2,BA,media,2
2012,adulto,3,2,CE,media,1
2012,adulto,3,2,GO,media,1
2012,adulto,3,2,MA,media,3
2012,adulto,3,2,MG,baixa,2
2012,adulto,3,2,MG,media,1
2012,adulto,3,2,MS,alta,1
2012,adulto,3,2,MS,media,1
2012,adulto,3,2,MT,alta,1
2012,adulto,3,2,MT,media,2
2012,adulto,3,2,PA,alta,1
2012,adulto,3,2,PA,media,3
2012,adulto,3,2,PB,media,2
2012,adulto,3,2,PE,alta,2
2012,adulto,3,2,PE,media,1
2012,adulto,3,2,PI,media,2
2012,adulto,3,2,PR,alta,5
2012,adulto,3,2,RJ,media,1
2012,adulto,3,2,RS,alta,1
2012,adulto,3,2,RS,media,2
2012,adulto,3,2,SP,alta,9
2012,adulto,3,2,SP,baixa,2
2012,adulto,3,2,SP,media,21
2012,adulto,4,1,AC,alta,6
2012,adulto,4,1,AC,baixa,11
2012,adulto,4,1,AC,media,20
2012,adulto,4,1,AL,alta,96
2012,adulto,4,1,AL,baixa,482
2012,adulto,4,1,AL,media,167
2012,adulto,4,1,AM,alta,327
2012,adulto,4,1,AM,baixa,84
2012,adulto,4,1,AM,media,798
2012,adulto,4,1,AP,alta,27
2012,adulto,4,1,AP,baixa,5
2012,adulto,4,1,AP,media,42
2012,adulto,4,1,BA,alta,266
2012,adulto,4,1,BA,baixa,394
2012,adulto,4,1,BA,media,1272
2012,adulto,4,1,CE,alta,243
2012,adulto,4,1,CE,baixa,296
2012,adulto,4,1,CE,media,1218
2012,adulto,4,1,DF,alta,131
2012,adulto,4,1,DF,baixa,36
2012,adulto,4,1,DF,media,475
2012,adulto,4,1,ES,alta,132
2012,adulto,4,1,ES,baixa,77
2012,adulto,4,1,ES,media,374
2012,adulto,4,1,GO,alta,315
2012,adulto,4,1,GO,baixa,119
2012,adulto,4,1,GO,media,979
2012,adulto,4,1,MA,alta,348
2012,adulto,4,1,MA,baixa,267
2012,adulto,4,1,MA,media,931
2012,adulto,4,1,MG,alta,521
2012,adulto,4,1,MG,baixa,222
2012,adulto,4,1,MG,media,1593
2012,adulto,4,1,MS,alta,128
2012,adulto,4,1,MS,baixa,33
2012,adulto,4,1,MS,media,296
2012,adulto,4,1,MT,alta,254
2012,adulto,4,1,MT,baixa,54
2012,adulto,4,1,MT,media,599
2012,adulto,4,1,PA,alta,520
2012,adulto,4,1,PA,baixa,163
2012,adulto,4,1,PA,media,1391
2012,adulto,4,1,PB,alta,52
2012,adulto,4,1,PB,baixa,150
2012,adulto,4,1,PB,media,243
2012,adulto,4,1,PE,alta,464
2012,adulto,4,1,PE,baixa,348
2012,adulto,4,1,PE,media,1711
2012,adulto,4,1,PI,alta,125
