posterior_sample,level,risk
294,baixa,0.6857566237449646
294,media,0.6659026741981506
294,alta,0.6353474855422974
295,baixa,0.6874462366104126
295,media,0.6675383448600769
295,alta,0.6367217302322388
296,baixa,0.6874379515647888
296,media,0.6686611771583557
296,alta,0.6372268795967102
297,baixa,0.6847569942474365
297,media,0.6646583676338196
297,alta,0.6340404152870178
298,baixa,0.6870222091674805
298,media,0.6676990389823914
298,alta,0.6368824243545532
299,baixa,0.6860879063606262
299,media,0.6660863161087036
299,alta,0.6355080008506775
300,baixa,0.6858450174331665
300,media,0.6665483117103577
300,alta,0.6361035704612732
301,baixa,0.6858388781547546
301,media,0.6650867462158203
301,alta,0.6343445777893066
302,baixa,0.6873908042907715
302,media,0.666827380657196
302,alta,0.6368322372436523
303,baixa,0.6860913634300232
303,media,0.6667407751083374
303,alta,0.6369178295135498
304,baixa,0.6860633492469788
304,media,0.6657771468162537
304,alta,0.6341577172279358
305,baixa,0.685028612613678
305,media,0.6651837229728699
305,alta,0.6330933570861816
306,baixa,0.6849583983421326
306,media,0.6655689477920532
306,alta,0.6346113681793213
307,baixa,0.6852523684501648
307,media,0.664983868598938
307,alta,0.6348072290420532
308,baixa,0.6858691573143005
308,media,0.6657403707504272
308,alta,0.635505199432373
309,baixa,0.6870196461677551
309,media,0.667776882648468
309,alta,0.637163519859314
310,baixa,0.6842449903488159
310,media,0.6637102961540222
310,alta,0.6327496767044067
311,baixa,0.686215877532959
311,media,0.6664066910743713
311,alta,0.6354937553405762
312,baixa,0.6861631274223328
312,media,0.6671785712242126
312,alta,0.6343059539794922
313,baixa,0.6855911612510681
313,media,0.6658523082733154
313,alta,0.6355845332145691
314,baixa,0.6865158081054688
314,media,0.6685572266578674
314,alta,0.6361309289932251
315,baixa,0.685029149055481
315,media,0.6657623648643494
315,alta,0.633665919303894
316,baixa,0.6862870454788208
316,media,0.6662859916687012
316,alta,0.6363370418548584
317,baixa,0.6846588253974915
317,media,0.6646556854248047
317,alta,0.6333293318748474
318,baixa,0.6864268779754639
318,media,0.6666103601455688
318,alta,0.6360694766044617
319,baixa,0.6864998936653137
319,media,0.6666468977928162
319,alta,0.636142909526825
320,baixa,0.6856458783149719
320,media,0.6657513976097107
320,alta,0.6350827813148499
321,baixa,0.6863836646080017
321,media,0.6668570041656494
321,alta,0.6367329955101013
322,baixa,0.6865179538726807
322,media,0.6672883629798889
322,alta,0.6361376047134399
323,baixa,0.6845869421958923
323,media,0.6648698449134827
323,alta,0.63398277759552
324,baixa,0.6863663792610168
324,media,0.6672594547271729
324,alta,0.6357561945915222
325,baixa,0.6849296689033508
325,media,0.6648207902908325
325,alta,0.6344470381736755
326,baixa,0.6849294304847717
326,media,0.6637261509895325
326,alta,0.634858250617981
327,baixa,0.6850957870483398
327,media,0.665059506893158
327,alta,0.6348462104797363
328,baixa,0.6849811673164368
328,media,0.6658304929733276
328,alta,0.6348361968994141
329,baixa,0.6849572658538818
329,media,0.6647664308547974
329,alta,0.6348105669021606
330,baixa,0.6869471669197083
330,media,0.667509138584137
330,alta,0.6357792019844055
331,baixa,0.6865066289901733
331,media,0.6669257879257202
331,alta,0.6369852423667908
332,baixa,0.6867245435714722
332,media,0.666881799697876
332,alta,0.6358602643013
333,baixa,0.6862789988517761
