ano,escolaridade_grupo,idade_grupo,raca_cor,sexo,sigla_uf,ocupacao,n
2012,alta,adulto,1,1,MA,514210,1
2012,alta,adulto,1,1,MA,516110,2
2012,alta,adulto,1,1,MA,517310,1
2012,alta,adulto,1,1,MA,517330,7
2012,alta,adulto,1,1,MA,519110,1
2012,alta,adulto,1,1,MA,519940,1
2012,alta,adulto,1,1,MA,521110,2
2012,alta,adulto,1,1,MA,521135,1
2012,alta,adulto,1,1,MA,524305,1
2012,alta,adulto,1,1,MA,612005,1
2012,alta,adulto,1,1,MA,621005,8
2012,alta,adulto,1,1,MA,622020,8
2012,alta,adulto,1,1,MA,631020,1
2012,alta,adulto,1,1,MA,631105,1
2012,alta,adulto,1,1,MA,712225,1
2012,alta,adulto,1,1,MA,715125,2
2012,alta,adulto,1,1,MA,715210,4
2012,alta,adulto,1,1,MA,715315,1
2012,alta,adulto,1,1,MA,771105,1
2012,alta,adulto,1,1,MA,782305,2
2012,alta,adulto,1,1,MA,782310,1
2012,alta,adulto,1,1,MA,782315,3
2012,alta,adulto,1,1,MA,782510,4
2012,alta,adulto,1,1,MA,832135,1
2012,alta,adulto,1,1,MA,848315,1
2012,alta,adulto,1,1,MA,914405,1
2012,alta,adulto,1,1,MA,992205,1
2012,alta,adulto,1,1,MA,999991,3
2012,alta,adulto,1,1,MA,999993,1
2012,alta,adulto,1,1,MG,10205,1
2012,alta,adulto,1,1,MG,121010,6
2012,alta,adulto,1,1,MG,141405,1
2012,alta,adulto,1,1,MG,141410,21
2012,alta,adulto,1,1,MG,141605,1
2012,alta,adulto,1,1,MG,141615,1
2012,alta,adulto,1,1,MG,141710,1
2012,alta,adulto,1,1,MG,142105,4
2012,alta,adulto,1,1,MG,142305,1
2012,alta,adulto,1,1,MG,142530,1
2012,alta,adulto,1,1,MG,21205,2
2012,alta,adulto,1,1,MG,21210,3
2012,alta,adulto,1,1,MG,212315,1
2012,alta,adulto,1,1,MG,231315,1
2012,alta,adulto,1,1,MG,233205,1
2012,alta,adulto,1,1,MG,239405,1
2012,alta,adulto,1,1,MG,252105,1
2012,alta,adulto,1,1,MG,252210,1
2012,alta,adulto,1,1,MG,253115,1
2012,alta,adulto,1,1,MG,254410,1
2012,alta,adulto,1,1,MG,262105,4
2012,alta,adulto,1,1,MG,262405,1
2012,alta,adulto,1,1,MG,263110,1
2012,alta,adulto,1,1,MG,312105,1
2012,alta,adulto,1,1,MG,313130,1
2012,alta,adulto,1,1,MG,313205,2
2012,alta,adulto,1,1,MG,313220,2
2012,alta,adulto,1,1,MG,313415,1
2012,alta,adulto,1,1,MG,314410,1
2012,alta,adulto,1,1,MG,317210,1
2012,alta,adulto,1,1,MG,318510,1
2012,alta,adulto,1,1,MG,321110,1
2012,alta,adulto,1,1,MG,322205,1
2012,alta,adulto,1,1,MG,331205,1
2012,alta,adulto,1,1,MG,333105,3
2012,alta,adulto,1,1,MG,341110,1
2012,alta,adulto,1,1,MG,351105,2
2012,alta,adulto,1,1,MG,351605,4
2012,alta,adulto,1,1,MG,351810,1
2012,alta,adulto,1,1,MG,353230,1
2012,alta,adulto,1,1,MG,354205,1
2012,alta,adulto,1,1,MG,354505,1
2012,alta,adulto,1,1,MG,354605,2
2012,alta,adulto,1,1,MG,354705,10
2012,alta,adulto,1,1,MG,354820,1
2012,alta,adulto,1,1,MG,374420,1
2012,alta,adulto,1,1,MG,377215,1
2012,alta,adulto,1,1,MG,391210,1
2012,alta,adulto,1,1,MG,410105,1
2012,alta,adulto,1,1,MG,411005,8
2012,alta,adulto,1,1,MG,411010,7
2012,alta,adulto,1,1,MG,412205,2
2012,alta,adulto,1,1,MG,413210,1
2012,alta,adulto,1,1,MG,414105,2
2012,alta,adulto,1,1,MG,414210,1
2012,alta,adulto,1,1,MG,414215,2
2012,alta,adulto,1,1,MG,415205,1
2012,alta,adulto,1,1,MG,415210,1
2012,alta,adulto,1,1,MG,422205,1
2012,alta,adulto,1,1,MG,422315,1
2012,alta,adulto,1,1,MG,510125,1
2012,alta,adulto,1,1,MG,511205,1
2012,alta,adulto,1,1,MG,511215,3
2012,alta,adulto,1,1,MG,511220,1
2012,alta,adulto,1,1,MG,512105,9
2012,alta,adulto,1,1,MG,513315,1
2012,alta,adulto,1,1,MG,513405,7
2012,alta,adulto,1,1,MG,514210,5
2012,alta,adulto,1,1,MG,514225,2
2012,alta,adulto,1,1,MG,515225,2
2012,alta,adulto,1,1,MG,516105,1
2012,alta,adulto,1,1,MG,516110,6
2012,alta,adulto,1,1,MG,516505,1
2012,alta,adulto,1,1,MG,517205,1
2012,alta,adulto,1,1,MG,517210,3
2012,alta,adulto,1,1,MG,517215,1
2012,alta,adulto,1,1,MG,517220,1
2012,alta,adulto,1,1,MG,517310,2
2012,alta,adulto,1,1,MG,517315,5
2012,alta,adulto,1,1,MG,517330,11
2012,alta,adulto,1,1,MG,517410,3
2012,alta,adulto,1,1,MG,517420,3
2012,alta,adulto,1,1,MG,519110,6
2012,alta,adulto,1,1,MG,520110,1
2012,alta,adulto,1,1,MG,521105,1
2012,alta,adulto,1,1,MG,521110,22
2012,alta,adulto,1,1,MG,521125,1
2012,alta,adulto,1,1,MG,521130,2
2012,alta,adulto,1,1,MG,521135,4
2012,alta,adulto,1,1,MG,523115,1
2012,alta,adulto,1,1,MG,524305,3
2012,alta,adulto,1,1,MG,611005,5
2012,alta,adulto,1,1,MG,621005,5
2012,alta,adulto,1,1,MG,622005,1
2012,alta,adulto,1,1,MG,622010,2
2012,alta,adulto,1,1,MG,622020,3
2012,alta,adulto,1,1,MG,622610,1
2012,alta,adulto,1,1,MG,641005,1
2012,alta,adulto,1,1,MG,641010,1
2012,alta,adulto,1,1,MG,641015,2
2012,alta,adulto,1,1,MG,711205,1
2012,alta,adulto,1,1,MG,715120,1
2012,alta,adulto,1,1,MG,715210,15
2012,alta,adulto,1,1,MG,715230,1
2012,alta,adulto,1,1,MG,715545,1
2012,alta,adulto,1,1,MG,715610,1
2012,alta,adulto,1,1,MG,715615,3
2012,alta,adulto,1,1,MG,716305,1
2012,alta,adulto,1,1,MG,716405,1
2012,alta,adulto,1,1,MG,716610,4
2012,alta,adulto,1,1,MG,717020,7
2012,alta,adulto,1,1,MG,720150,1
2012,alta,adulto,1,1,MG,721215,1
2012,alta,adulto,1,1,MG,723310,3
2012,alta,adulto,1,1,MG,723320,1
2012,alta,adulto,1,1,MG,724315,2
2012,alta,adulto,1,1,MG,724440,5
2012,alta,adulto,1,1,MG,725105,1
2012,alta,adulto,1,1,MG,725205,1
2012,alta,adulto,1,1,MG,751020,1
2012,alta,adulto,1,1,MG,752105,2
2012,alta,adulto,1,1,MG,763210,1
2012,alta,adulto,1,1,MG,766250,1
2012,alta,adulto,1,1,MG,768320,2
2012,alta,adulto,1,1,MG,771105,5
2012,alta,adulto,1,1,MG,782220,2
2012,alta,adulto,1,1,MG,782305,12
2012,alta,adulto,1,1,MG,782310,4
2012,alta,adulto,1,1,MG,782315,5
2012,alta,adulto,1,1,MG,782405,3
2012,alta,adulto,1,1,MG,782410,11
2012,alta,adulto,1,1,MG,782505,4
2012,alta,adulto,1,1,MG,782510,14
2012,alta,adulto,1,1,MG,783225,2
2012,alta,adulto,1,1,MG,784205,2
2012,alta,adulto,1,1,MG,821415,3
2012,alta,adulto,1,1,MG,823325,1
2012,alta,adulto,1,1,MG,841416,1
2012,alta,adulto,1,1,MG,848305,1
2012,alta,adulto,1,1,MG,848310,1
2012,alta,adulto,1,1,MG,848315,1
2012,alta,adulto,1,1,MG,848510,3
2012,alta,adulto,1,1,MG,862150,1
2012,alta,adulto,1,1,MG,913115,1
2012,alta,adulto,1,1,MG,914405,8
2012,alta,adulto,1,1,MG,914410,1
2012,alta,adulto,1,1,MG,951310,1
2012,alta,adulto,1,1,MG,992210,1
2012,alta,adulto,1,1,MG,999991,4
2012,alta,adulto,1,1,MG,999992,3
2012,alta,adulto,1,1,MG,999993,17
2012,alta,adulto,1,1,MG,999994,19
2012,alta,adulto,1,1,MS,10310,1
2012,alta,adulto,1,1,MS,141410,9
2012,alta,adulto,1,1,MS,142105,1
2012,alta,adulto,1,1,MS,142305,1
2012,alta,adulto,1,1,MS,21210,1
2012,alta,adulto,1,1,MS,214365,1
