bootstrap_iteration,bootstrap_sample_size,bootstrap_evaluation_sample_size,contrast,treated_level,reference_level,n_used,n_removed_no_common_support,risk_treated,risk_reference,risk_difference,risk_ratio,model_type,support_type,crossfit_folds
41,100000,100000,alta_vs_media,alta,media,93339,6661,0.638969094040407,0.6656206262466697,-0.026651532206262707,0.9599598763089021,xgb_3class,global_three_level_common_support_min_cell_20,1
42,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657795617975986,0.6766591321032349,-0.010879570305636355,0.9839216382526017,xgb_3class,global_three_level_common_support_min_cell_20,1
42,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6383901718801517,0.6766591321032349,-0.03826896022308324,0.9434442566316467,xgb_3class,global_three_level_common_support_min_cell_20,1
42,100000,100000,alta_vs_media,alta,media,93339,6661,0.6383901718801517,0.6657795617975986,-0.027389389917446882,0.958861173443811,xgb_3class,global_three_level_common_support_min_cell_20,1
43,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.665651694035493,0.6774992912293315,-0.011847597193838544,0.9825127533752236,xgb_3class,global_three_level_common_support_min_cell_20,1
43,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6387158669380647,0.6774992912293315,-0.0387834242912668,0.9427550334098598,xgb_3class,global_three_level_common_support_min_cell_20,1
43,100000,100000,alta_vs_media,alta,media,93339,6661,0.6387158669380647,0.665651694035493,-0.026935827097428255,0.9595346525235583,xgb_3class,global_three_level_common_support_min_cell_20,1
44,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656854390013365,0.676139010175599,-0.010453571174262488,0.9845393165947524,xgb_3class,global_three_level_common_support_min_cell_20,1
44,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390651108216107,0.676139010175599,-0.037073899353988304,0.9451682290238513,xgb_3class,global_three_level_common_support_min_cell_20,1
44,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390651108216107,0.6656854390013365,-0.026620328179725816,0.9600106497452284,xgb_3class,global_three_level_common_support_min_cell_20,1
45,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657077628111762,0.6775544422091943,-0.01184667939801809,0.9825155313580537,xgb_3class,global_three_level_common_support_min_cell_20,1
45,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6382648026143337,0.6775544422091943,-0.03928963959486054,0.9420125717621228,xgb_3class,global_three_level_common_support_min_cell_20,1
45,100000,100000,alta_vs_media,alta,media,93339,6661,0.6382648026143337,0.6657077628111762,-0.027442960196842447,0.9587762653075348,xgb_3class,global_three_level_common_support_min_cell_20,1
46,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656670900185844,0.6769916101706929,-0.011324520152108497,0.9832722887817573,xgb_3class,global_three_level_common_support_min_cell_20,1
46,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6384504506685184,0.6769916101706929,-0.038541159502174516,0.9430699599180307,xgb_3class,global_three_level_common_support_min_cell_20,1
46,100000,100000,alta_vs_media,alta,media,93339,6661,0.6384504506685184,0.6656670900185844,-0.02721663935006602,0.9591137375451351,xgb_3class,global_three_level_common_support_min_cell_20,1
