bootstrap_iteration,bootstrap_sample_size,bootstrap_evaluation_sample_size,contrast,treated_level,reference_level,n_used,n_removed_no_common_support,risk_treated,risk_reference,risk_difference,risk_ratio,model_type,support_type
27,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6372641391267682,0.6708753433996864,-0.033611204272918194,0.9498994789365903,xgb,pairwise_common_support_min_cell_20
27,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438134595186482,0.6695908267381612,-0.02577736721951296,0.961502807102235,xgb,pairwise_common_support_min_cell_20
28,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682309760380325,0.6832993479687405,-0.01506837193070798,0.9779476272361417,xgb,pairwise_common_support_min_cell_20
28,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6373640055713669,0.6712550061191733,-0.03389100054780647,0.9495109902513121,xgb,pairwise_common_support_min_cell_20
28,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439239124699488,0.6695842538159908,-0.025660341346042004,0.9616772031304461,xgb,pairwise_common_support_min_cell_20
29,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682849143736997,0.684926820733072,-0.01664190635937224,0.9757026504794183,xgb,pairwise_common_support_min_cell_20
29,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6378738047112087,0.6714468519374021,-0.033573047226193364,0.9499989505806435,xgb,pairwise_common_support_min_cell_20
29,100000,100000,alta_vs_media,alta,media,86162,1447,0.6443053058728124,0.6695528824018946,-0.02524757652908216,0.9622918858350498,xgb,pairwise_common_support_min_cell_20
30,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682418131824865,0.6836643960458386,-0.015422582863352075,0.9774412958279635,xgb,pairwise_common_support_min_cell_20
30,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6374539400066171,0.6714364335494277,-0.03398249354281058,0.9493883682135504,xgb,pairwise_common_support_min_cell_20
30,100000,100000,alta_vs_media,alta,media,86162,1447,0.643592470014236,0.6696921038537814,-0.02609963383954539,0.9610274129120628,xgb,pairwise_common_support_min_cell_20
31,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682327524655054,0.6831691591853417,-0.014936406719836315,0.9781365910345726,xgb,pairwise_common_support_min_cell_20
31,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6370244007285499,0.6715727090977356,-0.034548308369185654,0.9485561162608861,xgb,pairwise_common_support_min_cell_20
31,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439328302645113,0.6695236210566176,-0.025590790792106244,0.9617776132353332,xgb,pairwise_common_support_min_cell_20
32,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683281774279421,0.6830843547629787,-0.014756177335036536,0.9783977231623805,xgb,pairwise_common_support_min_cell_20
32,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6370020366473848,0.6702708589211481,-0.033268822273763377,0.9503651071339845,xgb,pairwise_common_support_min_cell_20
32,100000,100000,alta_vs_media,alta,media,86162,1447,0.6441450228513164,0.6695255667438461,-0.02538054389252975,0.962091748017981,xgb,pairwise_common_support_min_cell_20
33,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683244230272138,0.682818293499256,-0.014493870472042203,0.9787734590446235,xgb,pairwise_common_support_min_cell_20
33,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6376130601326329,0.6701531830245063,-0.03254012289187347,0.9514437538817397,xgb,pairwise_common_support_min_cell_20
33,100000,100000,alta_vs_media,alta,media,86162,1447,0.6440830841877302,0.6695346266138426,-0.02545154242611236,0.9619862193613002,xgb,pairwise_common_support_min_cell_20
34,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682767853945096,0.6845868853210726,-0.01631009992656296,0.9761752667538854,xgb,pairwise_common_support_min_cell_20
34,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6373304872531697,0.67295424937809,-0.035623762124920355,0.9470636196177645,xgb,pairwise_common_support_min_cell_20
34,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439211183379993,0.6696156200463681,-0.025694501708368844,0.9616279833696388,xgb,pairwise_common_support_min_cell_20
35,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.668248148317718,0.6830555347934356,-0.014807386475717665,0.9783218410195657,xgb,pairwise_common_support_min_cell_20
35,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6370176921427335,0.6699236612609705,-0.032905969118236955,0.9508810167171893,xgb,pairwise_common_support_min_cell_20
35,100000,100000,alta_vs_media,alta,media,86162,1447,0.6436866947599316,0.6696734222224681,-0.025986727462536496,0.9611949248690601,xgb,pairwise_common_support_min_cell_20
36,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682759833213404,0.6828407859742316,-0.014564802652891173,0.9786702801706387,xgb,pairwise_common_support_min_cell_20
36,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6374172777294133,0.6712161352052174,-0.033798857475804134,0.949645344169996,xgb,pairwise_common_support_min_cell_20
36,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439501857522594,0.6696771844941316,-0.02572699874187223,0.9615829845520178,xgb,pairwise_common_support_min_cell_20
37,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682178801687323,0.6829437468788633,-0.014725866710130986,0.9784376578928645,xgb,pairwise_common_support_min_cell_20
37,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6373155720742072,0.6711837315731141,-0.03386815949890687,0.9495396597001435,xgb,pairwise_common_support_min_cell_20
37,100000,100000,alta_vs_media,alta,media,86162,1447,0.6442257441636717,0.669586596135474,-0.025360851971802267,0.9621246122336189,xgb,pairwise_common_support_min_cell_20
38,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683432460608258,0.6826039157321492,-0.014260669671323334,0.9791084268011742,xgb,pairwise_common_support_min_cell_20
38,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6372077967444564,0.6701110184785773,-0.03290322173412097,0.9508988498520371,xgb,pairwise_common_support_min_cell_20
38,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438345240933638,0.6696782239399544,-0.025843699846590518,0.9614087797352243,xgb,pairwise_common_support_min_cell_20
39,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682245474785585,0.6831642942884771,-0.014939746809918608,0.978131546196397,xgb,pairwise_common_support_min_cell_20
39,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371448371595047,0.6699611868845853,-0.03281634972508063,0.9510175359893887,xgb,pairwise_common_support_min_cell_20
39,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438803127938436,0.669686335895494,-0.025806023101650366,0.9614655074794934,xgb,pairwise_common_support_min_cell_20
40,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682636496192177,0.683302199416936,-0.015038549797718348,0.9779913633959457,xgb,pairwise_common_support_min_cell_20
40,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6370990450350594,0.6708831371950571,-0.03378409215999767,0.949642359023588,xgb,pairwise_common_support_min_cell_20
40,100000,100000,alta_vs_media,alta,media,86162,1447,0.6441232783372718,0.6695636048695229,-0.025440326532251145,0.9620046156224267,xgb,pairwise_common_support_min_cell_20
41,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682732465527539,0.6824581661941335,-0.014184919641379579,0.9792149609396797,xgb,pairwise_common_support_min_cell_20
41,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6372990066244484,0.6709622434037122,-0.03366323677926386,0.949828418647681,xgb,pairwise_common_support_min_cell_20
