ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,4,1,RS,baixa,18
2012,adulto,4,1,RS,media,149
2012,adulto,4,1,RS,alta,30
2012,adulto,4,1,SC,baixa,4
2012,adulto,4,1,SC,media,103
2012,adulto,4,1,SC,alta,29
2012,adulto,4,1,SE,baixa,95
2012,adulto,4,1,SE,media,471
2012,adulto,4,1,SE,alta,158
2012,adulto,4,1,SP,baixa,287
2012,adulto,4,1,SP,media,1979
2012,adulto,4,1,SP,alta,874
2012,adulto,4,1,TO,baixa,40
2012,adulto,4,1,TO,media,178
2012,adulto,4,1,TO,alta,69
2012,adulto,4,2,AC,baixa,4
2012,adulto,4,2,AC,media,9
2012,adulto,4,2,AC,alta,5
2012,adulto,4,2,AL,baixa,52
2012,adulto,4,2,AL,media,108
2012,adulto,4,2,AL,alta,32
2012,adulto,4,2,AM,baixa,24
2012,adulto,4,2,AM,media,191
2012,adulto,4,2,AM,alta,133
2012,adulto,4,2,AP,baixa,5
2012,adulto,4,2,AP,media,13
2012,adulto,4,2,AP,alta,9
2012,adulto,4,2,BA,baixa,93
2012,adulto,4,2,BA,media,501
2012,adulto,4,2,BA,alta,160
2012,adulto,4,2,CE,baixa,69
2012,adulto,4,2,CE,media,350
2012,adulto,4,2,CE,alta,141
2012,adulto,4,2,DF,baixa,12
2012,adulto,4,2,DF,media,125
2012,adulto,4,2,DF,alta,58
2012,adulto,4,2,ES,baixa,19
2012,adulto,4,2,ES,media,129
2012,adulto,4,2,ES,alta,47
2012,adulto,4,2,GO,baixa,42
2012,adulto,4,2,GO,media,241
2012,adulto,4,2,GO,alta,89
2012,adulto,4,2,MA,baixa,74
2012,adulto,4,2,MA,media,368
2012,adulto,4,2,MA,alta,140
2012,adulto,4,2,MG,baixa,77
2012,adulto,4,2,MG,media,576
2012,adulto,4,2,MG,alta,225
2012,adulto,4,2,MS,baixa,13
2012,adulto,4,2,MS,media,116
2012,adulto,4,2,MS,alta,68
2012,adulto,4,2,MT,baixa,16
2012,adulto,4,2,MT,media,187
2012,adulto,4,2,MT,alta,106
2012,adulto,4,2,PA,baixa,58
2012,adulto,4,2,PA,media,433
2012,adulto,4,2,PA,alta,257
2012,adulto,4,2,PB,baixa,30
2012,adulto,4,2,PB,media,104
2012,adulto,4,2,PB,alta,26
2012,adulto,4,2,PE,baixa,119
2012,adulto,4,2,PE,media,499
2012,adulto,4,2,PE,alta,185
2012,adulto,4,2,PI,baixa,36
2012,adulto,4,2,PI,media,175
2012,adulto,4,2,PI,alta,60
2012,adulto,4,2,PR,baixa,30
2012,adulto,4,2,PR,media,162
2012,adulto,4,2,PR,alta,71
2012,adulto,4,2,RJ,baixa,61
2012,adulto,4,2,RJ,media,671
2012,adulto,4,2,RJ,alta,241
2012,adulto,4,2,RN,baixa,28
2012,adulto,4,2,RN,media,73
2012,adulto,4,2,RN,alta,23
2012,adulto,4,2,RO,baixa,6
2012,adulto,4,2,RO,media,43
2012,adulto,4,2,RO,alta,20
2012,adulto,4,2,RR,baixa,3
2012,adulto,4,2,RR,media,23
2012,adulto,4,2,RR,alta,17
2012,adulto,4,2,RS,baixa,7
2012,adulto,4,2,RS,media,67
2012,adulto,4,2,RS,alta,13
2012,adulto,4,2,SC,baixa,1
2012,adulto,4,2,SC,media,31
2012,adulto,4,2,SC,alta,12
2012,adulto,4,2,SE,baixa,29
2012,adulto,4,2,SE,media,109
2012,adulto,4,2,SE,alta,67
2012,adulto,4,2,SP,baixa,93
2012,adulto,4,2,SP,media,752
2012,adulto,4,2,SP,alta,417
2012,adulto,4,2,TO,baixa,9
2012,adulto,4,2,TO,media,69
2012,adulto,4,2,TO,alta,42
2012,adulto,5,1,AC,baixa,1
2012,adulto,5,1,AC,media,2
2012,adulto,5,1,AL,media,2
2012,adulto,5,1,AM,baixa,5
2012,adulto,5,1,AM,media,23
2012,adulto,5,1,AM,alta,7
2012,adulto,5,1,AP,media,2
2012,adulto,5,1,BA,baixa,2
2012,adulto,5,1,BA,media,4
2012,adulto,5,1,BA,alta,2
2012,adulto,5,1,CE,baixa,1
2012,adulto,5,1,CE,media,2
2012,adulto,5,1,CE,alta,1
2012,adulto,5,1,ES,media,1
2012,adulto,5,1,GO,baixa,1
2012,adulto,5,1,GO,alta,1
2012,adulto,5,1,MA,media,7
2012,adulto,5,1,MA,alta,3
2012,adulto,5,1,MG,baixa,1
2012,adulto,5,1,MG,media,3
2012,adulto,5,1,MS,baixa,7
2012,adulto,5,1,MS,media,26
2012,adulto,5,1,MS,alta,2
2012,adulto,5,1,MT,media,3
2012,adulto,5,1,MT,alta,3
2012,adulto,5,1,PA,media,4
2012,adulto,5,1,PA,alta,1
2012,adulto,5,1,PB,baixa,3
2012,adulto,5,1,PE,baixa,1
2012,adulto,5,1,PE,media,2
2012,adulto,5,1,PE,alta,2
2012,adulto,5,1,PI,media,1
2012,adulto,5,1,PR,baixa,1
2012,adulto,5,1,PR,media,9
2012,adulto,5,1,PR,alta,2
2012,adulto,5,1,RJ,baixa,1
