ano,idade_grupo,raca_cor,sexo,sigla_uf,baixa,media,contrast,level_a,level_b,pair_stratum_n,has_pair_common_support,min_pair_cell_n,alta
2021,idoso,4,2,ES,204.0,490.0,media_vs_baixa,baixa,media,694,True,204,
2021,idoso,4,2,GO,546.0,1449.0,media_vs_baixa,baixa,media,1995,True,546,
2021,idoso,4,2,MA,1005.0,1256.0,media_vs_baixa,baixa,media,2261,True,1005,
2021,idoso,4,2,MG,1204.0,4096.0,media_vs_baixa,baixa,media,5300,True,1204,
2021,idoso,4,2,MS,204.0,757.0,media_vs_baixa,baixa,media,961,True,204,
2021,idoso,4,2,MT,339.0,725.0,media_vs_baixa,baixa,media,1064,True,339,
2021,idoso,4,2,PA,731.0,1756.0,media_vs_baixa,baixa,media,2487,True,731,
2021,idoso,4,2,PB,317.0,703.0,media_vs_baixa,baixa,media,1020,True,317,
2021,idoso,4,2,PE,1323.0,2589.0,media_vs_baixa,baixa,media,3912,True,1323,
2021,idoso,4,2,PI,497.0,621.0,media_vs_baixa,baixa,media,1118,True,497,
2021,idoso,4,2,PR,594.0,1201.0,media_vs_baixa,baixa,media,1795,True,594,
2021,idoso,4,2,RJ,727.0,4480.0,media_vs_baixa,baixa,media,5207,True,727,
2021,idoso,4,2,RN,289.0,488.0,media_vs_baixa,baixa,media,777,True,289,
2021,idoso,4,2,RO,139.0,323.0,media_vs_baixa,baixa,media,462,True,139,
2021,idoso,4,2,RR,46.0,140.0,media_vs_baixa,baixa,media,186,True,46,
2021,idoso,4,2,RS,107.0,382.0,media_vs_baixa,baixa,media,489,True,107,
2021,idoso,4,2,SC,62.0,209.0,media_vs_baixa,baixa,media,271,True,62,
2021,idoso,4,2,SE,272.0,469.0,media_vs_baixa,baixa,media,741,True,272,
2021,idoso,4,2,SP,1442.0,6451.0,media_vs_baixa,baixa,media,7893,True,1442,
2021,idoso,4,2,TO,205.0,353.0,media_vs_baixa,baixa,media,558,True,205,
2021,idoso,5,1,AC,2.0,0.0,media_vs_baixa,baixa,media,2,False,0,
2021,idoso,5,1,AL,2.0,2.0,media_vs_baixa,baixa,media,4,False,2,
2021,idoso,5,1,AM,35.0,44.0,media_vs_baixa,baixa,media,79,True,35,
2021,idoso,5,1,AP,1.0,0.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,5,1,BA,5.0,12.0,media_vs_baixa,baixa,media,17,False,5,
2021,idoso,5,1,CE,5.0,4.0,media_vs_baixa,baixa,media,9,False,4,
2021,idoso,5,1,DF,0.0,2.0,media_vs_baixa,baixa,media,2,False,0,
2021,idoso,5,1,ES,1.0,2.0,media_vs_baixa,baixa,media,3,False,1,
